datetime,time,power,price,revenue,date
2026-04-01 00:15:00,00:15,120.0,390.0,11700.0,2026-04-01
2026-04-01 00:30:00,00:30,120.0,390.0,11700.0,2026-04-01
2026-04-01 00:45:00,00:45,120.0,385.0,11550.0,2026-04-01
2026-04-01 01:00:00,01:00,120.0,385.0,11550.0,2026-04-01
2026-04-01 01:15:00,01:15,120.0,385.0,11550.0,2026-04-01
2026-04-01 01:30:00,01:30,120.0,390.0,11700.0,2026-04-01
2026-04-01 01:45:00,01:45,120.0,390.0,11700.0,2026-04-01
2026-04-01 02:00:00,02:00,120.0,390.0,11700.0,2026-04-01
2026-04-01 02:15:00,02:15,120.0,390.0,11700.0,2026-04-01
2026-04-01 02:30:00,02:30,120.0,385.0,11550.0,2026-04-01
2026-04-01 02:45:00,02:45,120.0,385.0,11550.0,2026-04-01
2026-04-01 03:00:00,03:00,120.0,385.0,11550.0,2026-04-01
2026-04-01 03:15:00,03:15,120.0,385.0,11550.0,2026-04-01
2026-04-01 03:30:00,03:30,120.0,385.0,11550.0,2026-04-01
2026-04-01 03:45:00,03:45,120.0,385.0,11550.0,2026-04-01
2026-04-01 04:00:00,04:00,120.0,385.0,11550.0,2026-04-01
2026-04-01 04:15:00,04:15,120.0,390.0,11700.0,2026-04-01
2026-04-01 04:30:00,04:30,120.0,390.0,11700.0,2026-04-01
2026-04-01 04:45:00,04:45,120.0,390.0,11700.0,2026-04-01
2026-04-01 05:00:00,05:00,120.0,390.0,11700.0,2026-04-01
2026-04-01 05:15:00,05:15,120.0,390.0,11700.0,2026-04-01
2026-04-01 05:30:00,05:30,120.0,400.0,12000.0,2026-04-01
2026-04-01 05:45:00,05:45,120.0,405.0,12150.0,2026-04-01
2026-04-01 06:00:00,06:00,120.0,410.0,12300.0,2026-04-01
2026-04-01 06:15:00,06:15,120.0,413.0,12390.0,2026-04-01
2026-04-01 06:30:00,06:30,120.0,412.0,12360.0,2026-04-01
2026-04-01 06:45:00,06:45,120.0,410.0,12300.0,2026-04-01
2026-04-01 07:00:00,07:00,120.0,410.0,12300.0,2026-04-01
2026-04-01 07:15:00,07:15,120.0,400.0,12000.0,2026-04-01
2026-04-01 07:30:00,07:30,122.5,390.0,11943.75,2026-04-01
2026-04-01 07:45:00,07:45,140.0,376.0,13160.0,2026-04-01
2026-04-01 08:00:00,08:00,140.0,362.0,12670.0,2026-04-01
2026-04-01 08:15:00,08:15,140.0,360.0,12600.0,2026-04-01
2026-04-01 08:30:00,08:30,140.0,350.0,12250.0,2026-04-01
2026-04-01 08:45:00,08:45,140.0,350.0,12250.0,2026-04-01
2026-04-01 09:00:00,09:00,140.0,345.0,12075.0,2026-04-01
2026-04-01 09:15:00,09:15,140.0,335.0,11725.0,2026-04-01
2026-04-01 09:30:00,09:30,140.0,330.0,11550.0,2026-04-01
2026-04-01 09:45:00,09:45,140.0,310.0,10850.0,2026-04-01
2026-04-01 10:00:00,10:00,140.0,300.0,10500.0,2026-04-01
2026-04-01 10:15:00,10:15,140.0,300.0,10500.0,2026-04-01
2026-04-01 10:30:00,10:30,122.5,290.0,8881.25,2026-04-01
2026-04-01 10:45:00,10:45,120.0,288.0,8640.0,2026-04-01
2026-04-01 11:00:00,11:00,120.0,285.0,8550.0,2026-04-01
2026-04-01 11:15:00,11:15,120.0,280.0,8400.0,2026-04-01
2026-04-01 11:30:00,11:30,120.0,270.0,8100.0,2026-04-01
2026-04-01 11:45:00,11:45,120.0,250.0,7500.0,2026-04-01
2026-04-01 12:00:00,12:00,120.0,200.0,6000.0,2026-04-01
2026-04-01 12:15:00,12:15,120.0,200.0,6000.0,2026-04-01
2026-04-01 12:30:00,12:30,120.0,200.0,6000.0,2026-04-01
2026-04-01 12:45:00,12:45,120.0,200.0,6000.0,2026-04-01
2026-04-01 13:00:00,13:00,120.0,220.0,6600.0,2026-04-01
2026-04-01 13:15:00,13:15,120.0,253.0,7590.0,2026-04-01
2026-04-01 13:30:00,13:30,120.0,256.0,7680.0,2026-04-01
2026-04-01 13:45:00,13:45,120.0,260.0,7800.0,2026-04-01
2026-04-01 14:00:00,14:00,120.0,275.0,8250.0,2026-04-01
2026-04-01 14:15:00,14:15,120.0,275.0,8250.0,2026-04-01
2026-04-01 14:30:00,14:30,120.0,282.0,8460.0,2026-04-01
2026-04-01 14:45:00,14:45,120.0,295.0,8850.0,2026-04-01
2026-04-01 15:00:00,15:00,120.0,300.0,9000.0,2026-04-01
2026-04-01 15:15:00,15:15,120.0,300.0,9000.0,2026-04-01
2026-04-01 15:30:00,15:30,120.0,325.0,9750.0,2026-04-01
2026-04-01 15:45:00,15:45,120.0,335.0,10050.0,2026-04-01
2026-04-01 16:00:00,16:00,120.0,350.0,10500.0,2026-04-01
2026-04-01 16:15:00,16:15,120.0,360.0,10800.0,2026-04-01
2026-04-01 16:30:00,16:30,122.5,370.0,11331.25,2026-04-01
2026-04-01 16:45:00,16:45,140.0,390.0,13650.0,2026-04-01
2026-04-01 17:00:00,17:00,140.0,400.0,14000.0,2026-04-01
2026-04-01 17:15:00,17:15,140.0,420.0,14700.0,2026-04-01
2026-04-01 17:30:00,17:30,140.0,420.0,14700.0,2026-04-01
2026-04-01 17:45:00,17:45,185.0,450.0,20812.5,2026-04-01
2026-04-01 18:00:00,18:00,237.5,470.0,27906.25,2026-04-01
2026-04-01 18:15:00,18:15,290.0,550.0,39875.0,2026-04-01
2026-04-01 18:30:00,18:30,297.5,585.0,43509.375,2026-04-01
2026-04-01 18:45:00,18:45,245.0,510.0,31237.5,2026-04-01
2026-04-01 19:00:00,19:00,245.0,490.0,30012.5,2026-04-01
2026-04-01 19:15:00,19:15,192.5,466.0,22426.25,2026-04-01
2026-04-01 19:30:00,19:30,175.0,450.0,19687.5,2026-04-01
2026-04-01 19:45:00,19:45,175.0,440.0,19250.0,2026-04-01
2026-04-01 20:00:00,20:00,140.0,432.0,15120.0,2026-04-01
2026-04-01 20:15:00,20:15,140.0,430.0,15050.0,2026-04-01
2026-04-01 20:30:00,20:30,140.0,420.0,14700.0,2026-04-01
2026-04-01 20:45:00,20:45,140.0,410.0,14350.0,2026-04-01
2026-04-01 21:00:00,21:00,140.0,401.0,14035.0,2026-04-01
2026-04-01 21:15:00,21:15,140.0,392.0,13720.0,2026-04-01
2026-04-01 21:30:00,21:30,140.0,390.0,13650.0,2026-04-01
2026-04-01 21:45:00,21:45,140.0,382.0,13370.0,2026-04-01
2026-04-01 22:00:00,22:00,140.0,375.0,13125.0,2026-04-01
2026-04-01 22:15:00,22:15,140.0,372.0,13020.0,2026-04-01
2026-04-01 22:30:00,22:30,140.0,370.0,12950.0,2026-04-01
2026-04-01 22:45:00,22:45,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:00:00,23:00,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:15:00,23:15,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:30:00,23:30,140.0,350.0,12250.0,2026-04-01
2026-04-01 23:45:00,23:45,140.0,350.0,12250.0,2026-04-01
2026-04-02 00:00:00,24:00,140.0,346.0,12110.0,2026-04-01
