real_price,pred_price,datetime,date,target_power,actual_power,revenue,cost,profit
340.0,339.4008867160928,2026-04-25 04:45:00,2026-04-25,240,180.0,15300.0,8100.0,7200.0
340.0,341.88509968206404,2026-04-25 05:00:00,2026-04-25,240,240.0,20400.0,10800.0,9600.0
347.0,342.73792780531505,2026-04-25 05:15:00,2026-04-25,240,240.0,20820.0,10800.0,10020.0
346.0,349.5609499049281,2026-04-25 05:30:00,2026-04-25,240,240.0,20760.0,10800.0,9960.0
350.0,347.9334798445404,2026-04-25 05:45:00,2026-04-25,240,240.0,21000.0,10800.0,10200.0
350.0,346.0763854391544,2026-04-25 06:00:00,2026-04-25,240,240.0,21000.0,10800.0,10200.0
350.0,346.44558720573764,2026-04-25 06:15:00,2026-04-25,240,240.0,21000.0,10800.0,10200.0
340.0,346.28663455176826,2026-04-25 06:30:00,2026-04-25,240,240.0,20400.0,10800.0,9600.0
320.0,327.0971463391951,2026-04-25 06:45:00,2026-04-25,240,240.0,19200.0,10800.0,8400.0
300.0,315.7007990636073,2026-04-25 07:00:00,2026-04-25,240,240.0,18000.0,10800.0,7200.0
272.0,279.58103105657966,2026-04-25 07:15:00,2026-04-25,240,240.0,16320.0,10800.0,5520.0
200.0,188.91707807247855,2026-04-25 07:30:00,2026-04-25,120,180.0,9000.0,8100.0,900.0
0.0,138.60566235783398,2026-04-25 07:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-31.967996502052777,2026-04-25 08:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-12.803971596124184,2026-04-25 08:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-18.560647838621804,2026-04-25 08:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,9.771909668461708,2026-04-25 08:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-13.650779714034789,2026-04-25 09:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-13.650779714034789,2026-04-25 09:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-4.037657306149107,2026-04-25 09:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-2.754918858275572,2026-04-25 09:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-1.9690292825358768,2026-04-25 10:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-1.9690292825358768,2026-04-25 10:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-6.240579513253612,2026-04-25 10:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-4.643339297830191,2026-04-25 10:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-3.291905838271892,2026-04-25 11:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,0.9796443924458432,2026-04-25 11:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,0.9796443924458432,2026-04-25 11:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-3.291905838271892,2026-04-25 11:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-0.6447604294624968,2026-04-25 12:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-2.9157037234673253,2026-04-25 12:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-2.9157037234673253,2026-04-25 12:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-0.6447604294624968,2026-04-25 12:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-4.898067444654484,2026-04-25 13:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-5.527880408271461,2026-04-25 13:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,0.4336397759703455,2026-04-25 13:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-2.627124150649657,2026-04-25 13:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-1.3695766897317936,2026-04-25 14:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,-1.3695766897317936,2026-04-25 14:15:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,0.631030246981111,2026-04-25 14:30:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,0.631030246981111,2026-04-25 14:45:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
0.0,6.822405122469688,2026-04-25 15:00:00,2026-04-25,120,120.0,0.0,5400.0,-5400.0
213.0,6.822405122469688,2026-04-25 15:15:00,2026-04-25,120,120.0,6390.0,5400.0,990.0
269.0,245.9317187506197,2026-04-25 15:30:00,2026-04-25,120,120.0,8070.0,5400.0,2670.0
300.0,300.58940908311047,2026-04-25 15:45:00,2026-04-25,240,180.0,13500.0,8100.0,5400.0
300.0,299.10713860373306,2026-04-25 16:00:00,2026-04-25,240,240.0,18000.0,10800.0,7200.0
310.0,329.2680556391731,2026-04-25 16:15:00,2026-04-25,240,240.0,18600.0,10800.0,7800.0
330.0,330.2768943145727,2026-04-25 16:30:00,2026-04-25,240,240.0,19800.0,10800.0,9000.0
340.0,350.49648266923725,2026-04-25 16:45:00,2026-04-25,240,240.0,20400.0,10800.0,9600.0
332.0,345.9684006517611,2026-04-25 17:00:00,2026-04-25,240,240.0,19920.0,10800.0,9120.0
340.0,326.7960019829068,2026-04-25 17:15:00,2026-04-25,240,240.0,20400.0,10800.0,9600.0
347.0,339.32213185342766,2026-04-25 17:30:00,2026-04-25,240,240.0,20820.0,10800.0,10020.0
355.0,350.34878587902466,2026-04-25 17:45:00,2026-04-25,240,240.0,21300.0,10800.0,10500.0
362.0,358.2452342793401,2026-04-25 18:00:00,2026-04-25,240,240.0,21720.0,10800.0,10920.0
370.0,366.8742651877751,2026-04-25 18:15:00,2026-04-25,240,240.0,22200.0,10800.0,11400.0
370.0,374.9847293353113,2026-04-25 18:30:00,2026-04-25,240,240.0,22200.0,10800.0,11400.0
380.0,368.9045177320066,2026-04-25 18:45:00,2026-04-25,240,240.0,22800.0,10800.0,12000.0
390.0,381.8092886635375,2026-04-25 19:00:00,2026-04-25,300,300.0,29250.0,13500.0,15750.0
400.0,393.4629114375052,2026-04-25 19:15:00,2026-04-25,300,300.0,30000.0,13500.0,16500.0
400.0,400.1447324434483,2026-04-25 19:30:00,2026-04-25,300,300.0,30000.0,13500.0,16500.0
400.0,398.8713688859253,2026-04-25 19:45:00,2026-04-25,300,300.0,30000.0,13500.0,16500.0
400.0,395.96912298993374,2026-04-25 20:00:00,2026-04-25,300,300.0,30000.0,13500.0,16500.0
400.0,396.9368602824389,2026-04-25 20:15:00,2026-04-25,300,300.0,30000.0,13500.0,16500.0
390.0,396.6433889528882,2026-04-25 20:30:00,2026-04-25,300,300.0,29250.0,13500.0,15750.0
390.0,383.4308943742425,2026-04-25 20:45:00,2026-04-25,300,300.0,29250.0,13500.0,15750.0
380.0,385.1498209080659,2026-04-25 21:00:00,2026-04-25,300,300.0,28500.0,13500.0,15000.0
380.0,374.5559807678737,2026-04-25 21:15:00,2026-04-25,240,240.0,22800.0,10800.0,12000.0
370.0,376.3319297369028,2026-04-25 21:30:00,2026-04-25,240,240.0,22200.0,10800.0,11400.0
